RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;PVV (Partij voor de Vrijheid);CDA;Democraten 66 (D66);GROENLINKS;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;Forum voor Democratie;VNL (VoorNederland);Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP)	
Aa en Hunze;G1680;10787;Assen;K3;20482;17260;27;18;17215;4268;1681;1740;2163;1534;1937;1830;345;546;612;58;3;246;59;45;;25;82;22;;9;5;;3;2;;;	
Aalburg;G0738;11084;Tilburg;K17;9729;8397;19;11;8367;1327;1229;1362;294;165;444;149;931;148;154;1954;7;100;49;12;0;5;12;2;7;2;1;12;1;0;;0;	
Aalsmeer;G0358;11264;Haarlem;K10;22668;19502;33;26;19443;6764;2351;2392;2100;1116;915;828;798;505;655;129;115;476;110;60;23;28;40;11;11;10;5;;1;;;;	
Aalten;G0197;11046;Arnhem;K7;20952;17378;41;20;17317;3324;1657;4255;1707;1137;2217;793;814;311;506;117;107;183;44;33;4;18;36;15;9;10;2;7;4;2;5;0;	
Achtkarspelen;G0059;10199;Leeuwarden;K2;21437;17095;28;13;17054;2013;2872;4106;903;788;1948;1085;1767;282;487;277;5;348;44;29;;39;21;18;;11;3;;3;5;;;	
Alblasserdam;G0482;11327;Dordrecht;K14;14828;12390;29;14;12347;1907;1728;1467;797;618;915;684;1112;245;349;1955;210;212;51;28;3;15;5;9;2;4;1;28;1;1;;0;	
Albrandswaard;G0613;10124;Dordrecht;K14;18979;15811;24;16;15771;4499;2716;1761;1647;861;1018;742;443;430;563;204;156;473;86;46;32;19;21;14;10;7;7;8;4;4;;0;	
Alkmaar;G0361;10527;Den Helder;K11;82901;68009;203;86;67720;15040;7236;5858;9455;8686;5821;4933;1077;3242;2245;139;1281;1344;379;329;138;124;109;91;50;53;56;;22;;;;12	
Almelo;G0141;11053;Zwolle;K4;54536;42313;159;74;42080;7503;7520;6518;4049;2734;4595;2389;1378;886;1265;216;1855;688;147;130;18;49;49;25;31;11;17;;7;;;;	
Almere;G0034;10018;Lelystad;K5;143846;110571;469;236;109866;22822;17134;7151;13311;10890;9527;6535;2859;4251;5029;274;3120;2522;657;668;2132;256;179;118;109;80;70;113;39;20;;;	
Alphen aan den Rijn;G0484;10517;Leiden;K15;82543;69181;149;106;68926;17829;7957;9099;8216;5420;4464;3213;3064;1965;1942;1900;1245;1526;324;268;76;137;84;;45;36;37;43;18;16;;2;	
